EpisodeReturn,EpisodeLength,EvalReturn
768.6045778029937,162,5388.749818689883
5306.61707296472,1000,5366.071156088927
5314.041931839544,1000,5442.9878997413825
1028.9207206452593,220,4987.79286001013
5413.517351621077,1000,5414.648718283231
5433.779219875424,1000,5458.213716931123
5357.255777357749,1000,4951.894983864958
1528.0743179147196,295,4713.031016954989
5290.343984855715,1000,4767.937084829549
5350.477533942893,1000,5374.143249839206
5444.315832850495,1000,4318.413122208403
1560.3754338417493,295,4117.246683815448
5274.223305654093,1000,5289.114425154739
5144.266139776768,1000,5213.82502684218
4951.492047814459,957,5202.603168308221
5254.16636746617,1000,5333.868738483372
5310.874553330232,1000,5214.360415874247
5068.507425698702,988,5182.8327969613265
5250.016967060679,1000,5318.421180254392
5217.509250385974,1000,3159.8928448230154
5433.951866425461,1000,5510.365036506859
5440.98725663111,1000,5353.508218998453
2215.0544171973384,412,5384.714850064971
1671.3696984748974,340,3078.3900457832046
5439.539274635412,1000,5530.030100935618
5296.78203998115,1000,5474.12761672765
4116.386383551961,775,5399.791620979102
5231.691286862616,1000,3751.5595232261267
5212.107081732392,1000,5493.187497864738
5384.455996109197,1000,5569.962566421827
5330.467365031265,1000,5415.160557855863
5141.313820545447,1000,5558.918400187171
5096.368666724323,1000,5030.151564055298
5101.641740781329,1000,4707.043411558987
5392.724772219376,1000,5445.142000410875
5307.796556655878,1000,5426.410930722495
5155.16910225598,1000,5123.520358575223
5308.582065755237,1000,5365.341566058055
5291.010109429512,1000,4896.058081548481
5307.983956537106,1000,5415.597594817474
5242.705970996858,1000,5347.816955588509
3303.6773929202673,634,5392.215522956971
5365.38315671813,1000,5410.2236747570005
5283.943539447456,1000,5252.595307079871
5105.143554207627,1000,4806.030763273848
5250.514448541604,1000,5244.499757029775
5217.502723935761,1000,4467.130280118845
5423.699178416322,1000,5531.729839697164
5387.888781632934,1000,5480.354538216445
5265.985502098479,1000,5440.6789083252415
5128.753145198253,1000,5033.425220948422
5228.018710571642,1000,5066.826122884182
5272.071634549781,1000,5288.083552674502
507.904967020861,98,5493.41983567416
5345.121841259891,1000,5318.073338735427
5396.414081997837,1000,5533.951193012167
5353.40437654486,1000,5497.807807675164
5401.034419893112,1000,5484.007527161127
5387.098423143235,1000,5517.001212388041
5436.302671403764,1000,5151.586454333369
5410.012411852426,1000,5087.557746588742
5398.902293735854,1000,5488.54873857036
5452.012073828154,1000,5561.90397576072
5391.2209990950405,1000,5580.847293739808
5426.359288266237,1000,5584.6803778089325
5423.81168174715,1000,5521.123745049966
5413.101482607555,1000,5552.189567986732
5469.517250782272,1000,5565.132788525539
5416.292595320524,1000,5549.514761083212
5452.247604557459,1000,5547.686305052384
5438.997644177994,1000,5020.282576832226
5480.165578058,1000,5430.1734569517275
2437.6705845797837,455,5552.343959117848
5434.294979714143,1000,5472.201735959603
5448.115288212622,1000,5532.818228353224
5334.644904789232,1000,5386.943592750959
